
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
102,2015-06-17,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146,,,9.400,
102,2000-11-01,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146,147.200,1.800,9.000,1.200
102,2003-03-22,2018-05-01,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,144.86,,,,
102,2000-01-31,2015-06-17,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,144.86,,,9.400,
104,2008-07-28,,북강릉,강원특별자치도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.670,1.700,10.000,1.400
105,1911-10-03,,강릉,강원특별자치도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.220,1.700,10.000,0.500
106,1992-05-01,,동해,강원특별자치도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.660,1.700,10.000,1.400
108,2010-08-16,,서울,서울특별시 종로구송월길 52서울기상관측소  ,,37.5714,126.9658,85.8,,,,
108,1907-10-01,2010-08-16,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.5,86.500,1.500,10.000,0.600
108,2008-04-25,2010-08-15,서울,서울특별시 종로구송월길 52서울기상관측소  ,,37.5714,126.9658,85.5,,,,
110,1961-01-01,,김포공항,,,37.5569,126.7975,11.38,10.100,1.500,10.000,0.200
112,2013-10-22,,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4777,126.6249,68.99,70.190,1.600,10.000,1.200
112,1904-08-29,2013-10-22,인천,인천광역시 중구 자유공원서로 61인천기상대(전동),인천기상대(112),37.4776,126.6244,68.15,70.150,1.500,10.000,0.600
113,2000-09-01,,인천공항,,,37.4625,126.4392,7.1,6.000,1.500,10.000,1.100
114,1971-09-06,,원주,강원특별자치도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.110,1.700,14.000,1.400
115,2012-01-01,,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,,37.4813,130.8986,222.8,,,,
115,2016-03-01,,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.480,130.900,220.9,,,,
115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,221.14,223.700,1.600,10.000,1.300
115,2004-05-19,2016-03-01,울릉도독도(감),경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,222.8,,,,
116,2010-08-06,,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,622.38,,,,
116,2023-10-21,,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,624.82,,,,
116,2010-08-06,2023-10-21,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4453,126.964,624.82,,,,
116,1993-11-10,2010-08-06,관악(레),경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4433,126.967,634,,,,
116,2003-03-21,2010-08-05,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,,,,
116,1984-01-01,1990-12-31,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.960,1.400,3.900,1.100
119,2008-04-25,,수원,경기도 수원시권선구 권선로276  ,,37.2723,126.9853,34.06,,,,
119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.810,1.600,18.700,1.100
119,1964-01-01,,수원(농),경기도 수원시권선구 권선로276  ,,37.2695,126.9875,33.6,,,,
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.840,1.600,18.700,1.100
121,2007-01-31,,영월,강원특별자치도 영월군영월읍 영월로 1894-25 영월자동기상관측소,춘천기상대(101),37.1813,128.4574,240.6,,,,
121,1994-12-01,,영월,강원특별자치도 영월군영월읍 영월로 1894-25 영월자동기상관측소,영월기상대(121),37.1813,128.4574,240.54,242.050,1.700,10.000,1.400
127,1972-01-01,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.250,1.650,10.000,1.000
129,1983-01-01,,서산(농),충청남도 서산시수석1길 124-1  ,,36.7737,126.4959,25.93,,,,
129,1968-01-01,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.550,1.600,20.200,1.100
130,2020-12-04,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
130,2010-10-28,,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,안동기상대(136),36.9918,129.4128,50,,,,
130,1971-01-12,2020-12-04,울진,경상북도 울진군울진읍 현내항길157 울진지역기상서비스센터 ,대구(구 143),36.9918,129.4128,48.98,50.180,1.750,10.000,1.300
131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.100,1.700,10.000,0.800
132,2016-03-01,,안면도(감),,,36.5383,126.330,45.7,,,,
132,1999-02-08,,안면도(감),,,36.540,126.330,47,,,,
132,2003-03-21,2016-03-01,안면도(감),,,36.5383,126.330,45.7,,,,
133,1969-01-01,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,67.79,68.490,1.400,23.700,1.000
135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.180,1.600,10.000,1.100
135,2004-05-19,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2202,127.9946,244.73,,,,
136,2015-12-20,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,,,10.000,
136,2007-01-31,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,140.1,,,,
136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.760,1.800,10.000,1.300
136,1998-12-24,2015-12-20,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,140.1,,,10.000,
136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.400,1.500,10.000,0.600
137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.980,1.800,10.000,1.400
138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.380,3.94,4.920,1.600,10.000,1.200
140,2007-01-01,,군산,전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동),전주기상대(146),36.0053,126.7614,23.2,,,,
140,2003-12-31,,군산,전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동),전주기상대(146),36.0053,126.7614,27.85,24.600,1.700,10.000,1.000
140,1968-01-01,2003-12-01,군산,전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동),,35.993,126.7057,25.57,30.740,1.500,18.000,0.600
143,2007-01-31,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8852,128.619,64.08,,,,
143,2017-08-25,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.878,128.653,54.27,55.520,1.800,10.000,0.600
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8282,128.6522,53.4,54.900,1.800,10.000,0.600
144,1993-03-16,2011-12-09,군산(레),,군산기상대(140),36.0123,126.7834,198.61,,,,
144,2003-03-21,2006-12-27,오성산,,,36.0127,126.7839,227.41,,,,
146,2015-07-01,,전주,전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8409,127.1172,60.44,62.900,1.600,10.000,1.400
146,2008-04-28,,전주,전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,,,,
146,1918-06-23,2015-07-01,전주,전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,62.400,1.800,18.400,0.600
151,1985-01-01,,울산공항,,,35.5933,129.3522,12.6,8.400,2.000,10.000,0.600
152,2017-08-25,,울산,울산광역시 중구 달빛로 65-26울산기상대 (약사동),울산기상대(152),35.5824,129.3347,81.14,83.200,1.800,10.000,1.300
152,2016-04-01,,울산,울산광역시 중구 달빛로 65-26울산기상대 (약사동),울산기상대(152),35.5826,129.3344,82,,,,
152,2016-04-01,2017-08-25,울산,울산광역시 중구 달빛로 65-26울산기상대 (약사동),울산기상대(152),35.5826,129.3344,82,83.200,1.800,10.000,0.600
152,2008-04-30,2016-04-01,울산,울산광역시 중구 달빛로 65-26울산기상대 (약사동),울산기상대(152),35.5601,129.3203,34.57,,,,
152,1932-01-06,2016-04-01,울산,울산광역시 중구 달빛로 65-26울산기상대 (약사동),울산기상대(152),35.5601,129.3203,34.57,35.800,1.500,12.000,0.500
155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5728,34.97,39.100,1.700,10.000,1.300
155,2004-12-16,2010-07-22,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.900,1.700,10.000,0.500
155,1985-07-01,2004-12-16,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.900,1.500,17.600,0.600
156,2004-01-27,,광주,광주광역시 북구 서암대로 71광주지방기상청 (운암동),광주지방기상청(156),35.1729,126.8916,72.38,,,,
156,1939-05-01,,광주,광주광역시 북구 서암대로 71광주지방기상청 (운암동),광주지방기상청(156),35.1729,126.8916,70.28,73.900,1.700,17.500,0.800
159,1904-04-09,,부산,부산광역시 중구복병산길 32번길 5-11 부산기상관측소 (대청동1가),부산지방기상청(159),35.1047,129.032,69.56,70.900,1.500,18.000,1.300
160,2020-10-23,,부산(레),부산광역시 서구서대신동3가 산32-10,부산지방기상청(159),35.1188,129.000,512,,,,
160,2005-05-12,,구덕산,부산광역시 서구서대신동3가 산32-10,부산지방기상청(159),35.1188,129.000,518.46,,,,
160,1993-03-04,2020-10-23,부산(레),부산광역시 서구서대신동3가 산32-10,부산지방기상청(159),35.1188,129.000,518.46,,,,
162,1968-01-01,,통영,경상남도 통영시 망일1길 67통영자동기상관측소(정량동),부산지방기상청(159),34.8454,128.4356,31.24,33.200,1.500,18.000,1.300
163,2007-11-08,,무안공항,,,34.9914,126.3831,10.9,9.300,1.500,7.000,0.200
164,1993-01-01,2000-07-31,무안,,,35.0938,126.2851,24.49,25.030,1.500,12.600,0.600
165,2019-10-31,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.200,1.500,14.500,1.000
165,1904-04-08,2019-10-31,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8169,126.3812,38,39.200,1.500,14.500,1.000
167,1978-08-01,,여수공항,,,34.8467,127.6125,17.9,10.900,1.500,10.000,0.200
168,1942-03-01,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,65.93,66.100,1.500,13.000,0.600
169,1997-01-01,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.4511,75.12,78.000,1.500,15.500,0.600
169,2003-03-21,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.451,76.49,,,,
170,1971-01-31,,완도,전라남도 완도군군외면 청해진로795-3 (불목리 26),목포기상대(165),34.3959,126.7018,35.37,36.700,1.500,10.000,0.800
172,2010-12-01,,고창,전북특별자치도 고창군 대산면 칠거리로 70고창기상대,전주기상대(146),35.3482,126.599,52.42,53.500,1.800,10.000,1.700
174,2011-04-01,,순천,전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ,광주지방기상청(156),35.0204,127.3694,165,166.500,1.500,10.000,0.800
175,2020-04-29,,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2019-08-01,2020-04-29,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2015-12-16,2019-08-01,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,,,10.000,
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,479.760,1.500,10.000,0.800
175,2015-07-13,2015-12-16,진도(레),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,476.47,,,10.000,
175,2008-04-30,2015-10-15,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,476.47,,,,
175,2001-10-31,2015-07-13,진도(레),전라남도 진도군의신면 운림산방로527-209  ,진도기상대(175),34.4721,126.3238,476.47,,,10.000,
176,2013-10-10,2015-06-11,대구(기),,대구기상대(176),35.8782,128.6522,49,50.200,1.800,10.000,0.600
177,2017-10-31,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.700,1.500,10.000,1.500
177,2015-11-03,2017-10-31,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,홍성기상대(서산 129),36.6575,126.6877,20,,,10.000,
181,2023-05-01,,서청주,,청주기상대(131),36.640,127.3847,32,32.000,1.500,10.000,0.500
181,2022-01-21,2023-05-01,서청주,,청주기상대(131),36.6397,127.3969,32,32.000,1.500,10.000,0.500
182,1965-11-01,,제주공항,,,33.5167,126.500,26.5,24.440,2.000,10.000,0.500
184,1923-05-01,,제주,제주특별자치도 제주시만덕로 6길 32 제주지방기상청,제주지방기상청(184),33.5141,126.5297,20.79,21.990,1.700,15.000,1.500
185,1988-01-01,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.490,1.700,10.000,1.500
185,2003-03-21,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,74.29,,,,
185,1999-04-01,2013-02-05,고산(감),제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,,33.2938,126.1628,74.29,,,,
187,2007-03-27,2008-09-04,성산,,,33.3868,126.8804,18,20.480,1.800,10.200,0.600
188,2008-09-04,,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,제주지방기상청(184),33.3868,126.8802,20.34,21.740,1.700,10.000,1.500
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.100,1.500,10.000,0.600
189,2010-11-09,,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,제주지방기상청(184),33.2462,126.5653,51.86,53.160,1.700,10.000,1.500
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.600,1.800,10.000,0.600
192,2005-11-23,,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),창원기상대(155),35.1638,128.040,29.35,31.600,1.800,10.000,1.300
192,2007-01-31,,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),창원기상대(155),35.1638,128.040,30.21,,,,
192,1969-03-01,2005-11-23,진주,경상남도 진주시 남강로 43진주자동기상관측소(평거동),,35.2084,128.1191,21.32,22.640,1.500,10.000,0.600
201,1972-01-11,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.84,49.240,1.600,10.000,0.600
201,2004-02-07,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.01,,,,
202,1972-01-11,,양평,경기도 양평군 양평읍 시민로20번길 14-1양평자동기상관측소,수도권기상청(119),37.4886,127.4945,47.26,48.760,1.900,10.000,0.600
203,1972-01-11,,이천,경기도 이천시부발읍 대산로546번길 8 이천기상서비스센터,수도권기상청(119),37.264,127.4842,80.09,81.590,1.800,10.000,0.600
211,1971-12-01,,인제,강원특별자치도 인제군인제읍 비봉로44번길 93 인제자동기상관측소,인제자동기상관측소(211),38.0599,128.1671,201.78,202.780,1.500,10.000,0.500
212,1971-09-27,,홍천,강원특별자치도 홍천군홍천읍 연봉동로27 홍천자동기상관측소 ,춘천기상대(101),37.6836,127.8804,140.2,141.200,1.600,13.000,0.500
214,1971-02-28,1996-01-01,삼척,,,37.3667,129.2167,3.9,5.400,1.500,10.000,0.600
216,1985-08-01,,태백,강원특별자치도 태백시문예1길 45태백자동기상관측소  ,태백자동기상관측소(216),37.1704,128.9893,714.45,715.250,1.600,16.000,0.600
217,2023-07-01,,정선군,강원특별자치도 정선군정선읍 애산리 498-21,강릉(구 105),37.3773,128.6735,312,312.000,1.500,10.000,0.500
217,2010-08-06,2023-07-01,정선군,강원특별자치도 정선군정선읍 애산리 498-21,,37.3815,128.6459,307.58,309.000,1.800,10.000,0.600
221,1972-01-11,,제천,충청북도 제천시대학로 123(신월동 348번지) 제천기상관측소,청주기상대(131),37.1593,128.1943,264.62,265.390,1.500,10.000,0.500
226,1972-01-09,,보은,충청북도 보은군보은읍 성주길57 보은자동기상관측소 ,청주기상대(131),36.4876,127.7342,171.31,172.710,1.500,10.000,0.500
229,2017-09-08,,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2020-10-23,,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,104.81,,,,
229,2017-09-08,2020-10-23,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-03-16,2017-09-08,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
229,2005-02-25,2017-09-08,북격렬비도,충청남도 태안군근흥면 가의도리 511-1,대전지방기상청(133),36.6254,125.5595,103.56,,,,
230,2021-11-06,,덕적북리,인천광역시 옹진군덕적면 북리 490-8,인천기상대(112),37.2645,126.103,12,,,,
232,2016-04-01,,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7624,127.2927,81.5,,,,
232,1972-01-08,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.600,1.800,9.500,0.600
232,2004-05-18,2016-04-01,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7796,127.1191,21.3,,,,
235,1972-01-24,,보령,충청남도 보령시대해로 450보령지역기상서비스센터  ,대전지방기상청(133),36.3272,126.5574,9.98,17.000,1.600,10.000,1.100
236,1972-01-09,,부여,충청남도 부여군부여읍 금성로63 부여기상관측소 ,대전지방기상청(133),36.2724,126.9208,13.42,14.880,1.700,10.000,0.500
238,1972-01-09,,금산,충청남도 금산군금산읍 비단로410-8 금산자동기상관측소 ,대전지방기상청(133),36.1056,127.4818,172.69,173.990,1.500,10.000,0.500
239,2020-04-01,,세종,세종특별자치시 세종로 905-22(새롬동 550) (새롬동),대전지방기상청(133),36.4852,127.2444,89.5,95.000,1.600,10.000,1.000
239,2019-05-31,2020-04-01,세종,세종특별자치시 세종로 905-22(새롬동 550) (새롬동),대전지방기상청(133),36.4864,127.235,94,95.000,1.600,10.000,1.000
243,1972-03-01,,부안,전북특별자치도 부안군 행안면 변산로 42부안기상관측소,전주기상대(146),35.7296,126.7166,12.2,13.500,1.800,10.000,0.600
244,1970-06-02,,임실,전북특별자치도 임실군임실읍 운수로58임실자동기상관측소  ,전주기상대(146),35.612,127.2856,247.04,248.440,1.800,10.000,0.600
245,2016-11-01,,정읍,전북특별자치도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5634,126.839,68.7,70.970,1.900,10.000,1.000
245,1970-01-05,2016-11-01,정읍,전북특별자치도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5632,126.8661,44.6,46.100,1.700,10.000,0.600
247,2017-08-25,,남원,전북특별자치도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4213,127.3965,133.49,91.800,1.700,10.000,0.700
247,2013-08-01,2017-08-25,남원,전북특별자치도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4023,127.3967,127.48,91.800,1.700,10.000,0.700
247,1972-01-04,2013-08-01,남원,전북특별자치도 남원시춘향로 74-32남원지역기상서비스센터  ,남원기상대(247),35.4054,127.333,90.29,94.700,1.800,10.000,0.600
248,1988-01-01,,장수,전북특별자치도 장수군 장수읍 장천로 277장수기상관측소,전주기상대(146),35.657,127.5203,406.87,408.000,1.600,10.000,0.500
251,2010-12-01,,고창군,전북특별자치도 고창군중거리당산로 74-12 상하수도사업소,전주기상대(146),35.4266,126.697,58.84,55.500,1.700,10.000,0.600
251,2008-11-28,2010-12-01,고창군,전북특별자치도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4266,126.697,54,55.300,1.800,10.000,0.700
251,2007-11-01,2008-11-28,고창군,전북특별자치도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4251,126.699,54.02,55.320,1.500,10.000,0.500
252,2007-11-26,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.700,1.500,13.000,0.600
253,2008-02-13,,김해시,경상남도 김해시 분성로396번길 55부원동 121번지 (부원동),부산지방기상청(159),35.2298,128.8908,54.59,54.600,1.700,10.000,0.500
254,2008-07-16,,순창군,전북특별자치도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3713,127.1286,129.38,128.400,1.600,10.000,0.600
